im_idx,pair_idx,im_id,filename,system_idx,city,city_ascii,country,geonameid,lng,lat,date,time
0,a,0_a,0_a.npy,20170301T052731_20170301T053814_T43REH,Kota,Kota,India,1266049,75.83907,25.18254,20170301,52731
0,b,0_b,0_b.npy,20170130T053041_20170130T053159_T43REH,Kota,Kota,India,1266049,75.83907,25.18254,20170130,53041
1,a,1_a,1_a.npy,20171031T101141_20171031T102615_T31PCL,Djougou,Djougou,Benin,2394560,1.66598,9.70853,20171031,101141
1,b,1_b,1_b.npy,20171031T101141_20171031T102615_T31PCL,Djougou,Djougou,Benin,2394560,1.66598,9.70853,20171031,101141
2,a,2_a,2_a.npy,20160904T161342_20160904T161737_T17TNE,Pittsburgh,Pittsburgh,United States,5206379,-79.99589,40.44062,20160904,161342
2,b,2_b,2_b.npy,20190221T161251_20190221T161549_T17TNE,Pittsburgh,Pittsburgh,United States,5206379,-79.99589,40.44062,20190221,161251
4,a,4_a,4_a.npy,20160514T075819_20160514T113022_T36LYH,Blantyre,Blantyre,Malawi,931755,35.00854,-15.78499,20160514,75819
4,b,4_b,4_b.npy,20161210T074312_20161210T075540_T36LYH,Blantyre,Blantyre,Malawi,931755,35.00854,-15.78499,20161210,74312
5,a,5_a,5_a.npy,20191118T111341_20191118T111444_T30UWE,Bradford,Bradford,United Kingdom,2654993,-1.75206,53.79391,20191118,111341
5,b,5_b,5_b.npy,20160606T110622_20160606T110624_T30UWE,Bradford,Bradford,United Kingdom,2654993,-1.75206,53.79391,20160606,110622
6,a,6_a,6_a.npy,20190121T023019_20190121T023018_T51TXJ,Changchun,Changchun,China,2038180,125.32278,43.88,20190121,23019
6,b,6_b,6_b.npy,20190302T022619_20190302T023039_T51TXJ,Changchun,Changchun,China,2038180,125.32278,43.88,20190302,22619
8,a,8_a,8_a.npy,20190525T052659_20190525T053718_T43RFN,Sonīpat,Sonipat,India,1255744,77.01937,28.99478,20190525,52659
8,b,8_b,8_b.npy,20161121T053132_20161121T110058_T43RFN,Sonīpat,Sonipat,India,1255744,77.01937,28.99478,20161121,53132
9,a,9_a,9_a.npy,20180416T031541_20180416T031540_T49SFV,Jincheng,Jincheng,China,1805741,112.83278,35.50222,20180416,31541
9,b,9_b,9_b.npy,20191204T031111_20191204T031709_T49SFV,Jincheng,Jincheng,China,1805741,112.83278,35.50222,20191204,31111
10,a,10_a,10_a.npy,20180607T133219_20180607T133222_T22JDM,Porto Alegre,Porto Alegre,Brazil,3452925,-51.23019,-30.03283,20180607,133219
10,b,10_b,10_b.npy,20190806T133231_20190806T133228_T22JDM,Porto Alegre,Porto Alegre,Brazil,3452925,-51.23019,-30.03283,20190806,133231
11,a,11_a,11_a.npy,20191015T172309_20191015T172303_T14TPL,Columbus,Columbus,United States,5066001,-97.36838,41.42973,20191015,172309
11,b,11_b,11_b.npy,20180712T171859_20180712T172440_T14TPL,Columbus,Columbus,United States,5066001,-97.36838,41.42973,20180712,171859
13,a,13_a,13_a.npy,20180709T155219_20180709T155220_T17MNU,Portoviejo,Portoviejo,Ecuador,3652941,-80.45445,-1.05458,20180709,155219
13,b,13_b,13_b.npy,20180420T155219_20180420T155220_T17MNU,Portoviejo,Portoviejo,Ecuador,3652941,-80.45445,-1.05458,20180420,155219
15,a,15_a,15_a.npy,20191024T060919_20191024T061822_T42SVG,Qŭrghonteppa,Qurghonteppa,Tajikistan,1220747,68.78186,37.83399,20191024,60919
15,b,15_b,15_b.npy,20190127T061129_20190127T061409_T42SVG,Qŭrghonteppa,Qurghonteppa,Tajikistan,1220747,68.78186,37.83399,20190127,61129
16,a,16_a,16_a.npy,20161128T170642_20161128T220448_T14QMG,Toluca,Toluca,Mexico,3515302,-99.65324,19.28786,20161128,170642
16,b,16_b,16_b.npy,20161128T170642_20161128T220448_T14QMG,Toluca,Toluca,Mexico,3515302,-99.65324,19.28786,20161128,170642
17,a,17_a,17_a.npy,20190611T003709_20190611T004153_T54HTG,Adelaide,Adelaide,Australia,2078025,138.59863,-34.92866,20190611,3709
17,b,17_b,17_b.npy,20190130T004701_20190130T004703_T54HTG,Adelaide,Adelaide,Australia,2078025,138.59863,-34.92866,20190130,4701
19,a,19_a,19_a.npy,20190129T165539_20190129T170116_T15SWU,Little Rock,Little Rock,United States,4119403,-92.28959,34.74648,20190129,165539
19,b,19_b,19_b.npy,20161006T165312_20161006T170017_T15SWU,Little Rock,Little Rock,United States,4119403,-92.28959,34.74648,20161006,165312
20,a,20_a,20_a.npy,20180225T031711_20180225T033239_T48PXR,Sóc Trăng,Soc Trang,Vietnam,1567788,105.97193,9.59995,20180225,31711
20,b,20_b,20_b.npy,20180312T031529_20180312T033231_T48PWR,Sóc Trăng,Soc Trang,Vietnam,1567788,105.97193,9.59995,20180312,31529
21,a,21_a,21_a.npy,20160816T090022_20160816T125144_T35TNH,Varna,Varna,Bulgaria,726050,27.91667,43.21667,20160816,90022
21,b,21_b,21_b.npy,20180821T085549_20180821T090337_T35TNH,Varna,Varna,Bulgaria,726050,27.91667,43.21667,20180821,85549
22,a,22_a,22_a.npy,20170809T090549_20170809T090755_T35TNN,Iaşi,Iasi,Romania,675810,27.6,47.16667,20170809,90549
22,b,22_b,22_b.npy,20160928T091022_20160928T131050_T35TNN,Iaşi,Iasi,Romania,675810,27.6,47.16667,20160928,91022
23,a,23_a,23_a.npy,20190519T073621_20190519T074618_T38RPV,An Nāşirīyah,An Nasiriyah,Iraq,98854,46.25726,31.05799,20190519,73621
23,b,23_b,23_b.npy,20150914T073252_20160317T185128_T38RPV,An Nāşirīyah,An Nasiriyah,Iraq,98854,46.25726,31.05799,20150914,73252
24,a,24_a,24_a.npy,20161231T053222_20161231T054043_T43QDC,Mālegaon,Malegaon,India,1264115,74.53462,20.54966,20161231,53222
24,b,24_b,24_b.npy,20171027T052921_20171027T053520_T43QDC,Mālegaon,Malegaon,India,1264115,74.53462,20.54966,20171027,52921
25,a,25_a,25_a.npy,20190622T185921_20190622T190618_T10SEH,Santa Rosa,Santa Rosa,United States,5393287,-122.71443,38.44047,20190622,185921
25,b,25_b,25_b.npy,20181231T185801_20181231T190045_T10SEH,Santa Rosa,Santa Rosa,United States,5393287,-122.71443,38.44047,20181231,185801
27,a,27_a,27_a.npy,20170711T084019_20170711T090213_T33KYR,Windhoek,Windhoek,Namibia,3352136,17.08323,-22.55941,20170711,84019
27,b,27_b,27_b.npy,20190726T083611_20190726T090529_T33KYR,Windhoek,Windhoek,Namibia,3352136,17.08323,-22.55941,20190726,83611
28,a,28_a,28_a.npy,20161126T080252_20161126T114430_T35JMK,Welkom,Welkom,South Africa,940909,26.73506,-27.97742,20161126,80252
28,b,28_b,28_b.npy,20191017T075919_20191017T082118_T35JMK,Welkom,Welkom,South Africa,940909,26.73506,-27.97742,20191017,75919
29,a,29_a,29_a.npy,20180720T022551_20180720T024454_T50NLM,Kota Kinabalu,Kota Kinabalu,Malaysia,1733432,116.0724,5.9749,20180720,22551
29,b,29_b,29_b.npy,20190302T022619_20190302T023810_T50NLM,Kota Kinabalu,Kota Kinabalu,Malaysia,1733432,116.0724,5.9749,20190302,22619
31,a,31_a,31_a.npy,20180503T053639_20180503T054842_T43RBK,Jodhpur,Jodhpur,India,1268865,73.00594,26.26841,20180503,53639
